problem,trip_id,physical_vehicle_id,vehicle_type,arc_index,from_customer_id,to_customer_id,from_x_km,from_y_km,to_x_km,to_y_km,trip_depart_min,trip_return_min,trip_total_cost,trip_weight_kg,trip_distance_km,trip_max_late_min,visual_note
problem1,T0001,E1-001,E1,1,0,76,20.0,20.0,6.17248271231953,-11.9739943806008,480.0,1290.9015383562871,674.2402829434075,2884.95745,124.22216766784908,0.0,straight_visit_order_link_not_road_geometry
problem1,T0001,E1-001,E1,2,76,28,6.17248271231953,-11.9739943806008,22.0320436347622,-20.5978136037632,480.0,1290.9015383562871,674.2402829434075,2884.95745,124.22216766784908,0.0,straight_visit_order_link_not_road_geometry
problem1,T0001,E1-001,E1,3,28,0,22.0320436347622,-20.5978136037632,20.0,20.0,480.0,1290.9015383562871,674.2402829434075,2884.95745,124.22216766784908,0.0,straight_visit_order_link_not_road_geometry
problem1,T0002,E1-002,E1,1,0,66,20.0,20.0,10.9979131123698,-14.3764159181384,480.0,682.7209402766069,474.4456449215167,2791.0139,95.9412595017608,0.0,straight_visit_order_link_not_road_geometry
problem1,T0002,E1-002,E1,2,66,0,10.9979131123698,-14.3764159181384,20.0,20.0,480.0,682.7209402766069,474.4456449215167,2791.0139,95.9412595017608,0.0,straight_visit_order_link_not_road_geometry
problem1,T0003,E1-003,E1,1,0,16,20.0,20.0,14.450550964877,-8.76544029595808,480.0,1222.890636913119,665.4065902491024,2558.0861,192.4890733979958,0.0,straight_visit_order_link_not_road_geometry
problem1,T0003,E1-003,E1,2,16,54,14.450550964877,-8.76544029595808,-7.26957106603941,-30.7450666987351,480.0,1222.890636913119,665.4065902491024,2558.0861,192.4890733979958,0.0,straight_visit_order_link_not_road_geometry
problem1,T0003,E1-003,E1,3,54,0,-7.26957106603941,-30.7450666987351,20.0,20.0,480.0,1222.890636913119,665.4065902491024,2558.0861,192.4890733979958,0.0,straight_visit_order_link_not_road_geometry
problem1,T0004,E1-004,E1,1,0,37,20.0,20.0,35.9798551608321,-8.83484643633667,480.0,958.251817768308,585.2606567663462,2920.002633333333,161.6030023909068,0.0,straight_visit_order_link_not_road_geometry
problem1,T0004,E1-004,E1,2,37,56,35.9798551608321,-8.83484643633667,30.9734492073973,-24.4269327966448,480.0,958.251817768308,585.2606567663462,2920.002633333333,161.6030023909068,0.0,straight_visit_order_link_not_road_geometry
problem1,T0004,E1-004,E1,3,56,0,30.9734492073973,-24.4269327966448,20.0,20.0,480.0,958.251817768308,585.2606567663462,2920.002633333333,161.6030023909068,0.0,straight_visit_order_link_not_road_geometry
problem1,T0005,E1-005,E1,1,0,85,20.0,20.0,5.2885051532574,-10.610672970256,553.5505177088818,872.3265284097627,531.3569901333507,2286.4089,169.1202231959785,10.177657374452906,straight_visit_order_link_not_road_geometry
problem1,T0005,E1-005,E1,2,85,35,5.2885051532574,-10.610672970256,-0.079057338447202,-32.911273246347,553.5505177088818,872.3265284097627,531.3569901333507,2286.4089,169.1202231959785,10.177657374452906,straight_visit_order_link_not_road_geometry
problem1,T0005,E1-005,E1,3,35,0,-0.079057338447202,-32.911273246347,20.0,20.0,553.5505177088818,872.3265284097627,531.3569901333507,2286.4089,169.1202231959785,10.177657374452906,straight_visit_order_link_not_road_geometry
